STT,Mã sinh viên,Họ và tên,Lớp,Ngành học,Điểm CPA,Xếp loại tốt nghiệp,Chuẩn Ngoại ngữ,Chuẩn Tin học,GDQP & GDTC,Trạng thái xét
283,221VHU0283,Ngô Thu Hải,221TÂ03,Tâm lý học,2.41,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
284,221VHU0284,Lê Ngọc Vinh,221TÂ02,Tâm lý học,3.18,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
285,221VHU0285,Bùi Minh Quân,221QU03,Quản trị dịch vụ du lịch và lữ hành,3.94,Xuất sắc,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
286,221VHU0286,Lý Thu Vinh,221ĐÔ03,Đông phương học,2.97,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
287,221VHU0287,Đặng Đức Anh,221KỸ03,Kỹ thuật phần mềm,2.05,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
288,221VHU0288,Phan Phương Thảo,221MA03,Marketing,2.81,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
289,221VHU0289,Phan Văn Trang,221QU02,Quản trị kinh doanh,3.35,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
290,221VHU0290,Đặng Thu Sơn,221TÀ02,Tài chính - Ngân hàng,3.5,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
291,221VHU0291,Hồ Hoàng Tâm,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.87,Xuất sắc,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
292,221VHU0292,Bùi Tuấn Phong,221NG02,Ngôn ngữ Anh,3.55,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
293,221VHU0293,Hoàng Tuấn Nga,221NG03,Ngôn ngữ Nhật,3.75,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
294,221VHU0294,Trần Khánh Quân,221KẾ03,Kế toán,3.1,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
295,221VHU0295,Nguyễn Đức Tâm,221ĐÔ01,Đông phương học,2.65,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
296,221VHU0296,Võ Khánh Anh,221TÀ03,Tài chính - Ngân hàng,3.92,Xuất sắc,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
297,221VHU0297,Hồ Thành Thảo,221KỸ03,Kỹ thuật phần mềm,3.69,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
298,221VHU0298,Trần Minh Nam,221KỸ02,Kỹ thuật phần mềm,2.97,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
299,221VHU0299,Đặng Đức Quân,221KẾ01,Kế toán,2.34,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
300,221VHU0300,Lê Ngọc Quân,221CÔ01,Công nghệ thông tin,3.56,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
