STT,Mã hồ sơ,Họ và tên,Ngày sinh,Tỉnh/Thành phố,Ngành xét tuyển,Phương thức xét tuyển,Điểm xét tuyển,Kết quả
377,261VHU0377,Nguyễn Ngọc Em,17/11/2008,Tiền Giang,Quản trị kinh doanh,Xét điểm thi THPT,28.12,Trúng tuyển
378,261VHU0378,Ngô Tuấn Phong,16/03/2008,Bình Định,Marketing,Xét điểm ĐGNL ĐHQG,919.0,Trúng tuyển
379,261VHU0379,Nguyễn Phương Yến,08/09/2008,Bình Dương,Quản trị kinh doanh,Xét điểm thi THPT,18.34,Trúng tuyển
380,261VHU0380,Huỳnh Phương Nga,16/09/2008,Cần Thơ,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,894.0,Trúng tuyển
381,261VHU0381,Phạm Ánh Dũng,12/09/2008,TP. Hồ Chí Minh,Kế toán,Xét điểm ĐGNL ĐHQG,913.0,Trúng tuyển
382,261VHU0382,Dương Thu Hải,21/04/2008,Bình Dương,Marketing,Xét học bạ THPT,25.73,Trúng tuyển
383,261VHU0383,Trần Ngọc Hùng,04/04/2008,Đồng Nai,Tài chính - Ngân hàng,Xét học bạ THPT,22.61,Trúng tuyển
384,261VHU0384,Đỗ Khánh Uyên,20/03/2008,Đồng Nai,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,763.0,Trúng tuyển
385,261VHU0385,Phan Phương Bình,20/09/2008,Long An,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,23.59,Trúng tuyển
386,261VHU0386,Bùi Hoàng Huy,28/09/2008,Lâm Đồng,Kế toán,Xét điểm ĐGNL ĐHQG,702.0,Trúng tuyển
387,261VHU0387,Phạm Thành Yến,28/11/2008,Long An,Marketing,Xét học bạ THPT,28.42,Trúng tuyển
388,261VHU0388,Hoàng Đức Em,25/11/2008,Bến Tre,Tâm lý học,Xét điểm thi THPT,26.7,Trúng tuyển
389,261VHU0389,Lý Thành Tâm,13/08/2008,Bình Định,Đông phương học,Xét điểm thi THPT,24.59,Trúng tuyển
390,261VHU0390,Lê Gia Quân,12/08/2008,Tiền Giang,Tâm lý học,Xét điểm thi THPT,25.29,Trúng tuyển
391,261VHU0391,Bùi Ánh Anh,15/11/2008,Lâm Đồng,Tâm lý học,Xét học bạ THPT,25.67,Trúng tuyển
392,261VHU0392,Đỗ Khánh Châu,14/04/2008,Tiền Giang,Ngôn ngữ Nhật,Xét điểm thi THPT,20.29,Trúng tuyển
393,261VHU0393,Võ Quang Huy,19/08/2008,Tây Ninh,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,820.0,Trúng tuyển
394,261VHU0394,Trần Văn Dũng,28/03/2008,Tiền Giang,Đông phương học,Xét điểm thi THPT,18.17,Trúng tuyển
395,261VHU0395,Dương Văn Nam,21/05/2008,Long An,Quản trị kinh doanh,Xét điểm ĐGNL ĐHQG,946.0,Trúng tuyển
396,261VHU0396,Võ Thị Trang,22/11/2008,Long An,Tài chính - Ngân hàng,Xét điểm thi THPT,18.87,Trúng tuyển
397,261VHU0397,Trần Gia Trang,08/07/2008,Lâm Đồng,Kế toán,Xét điểm ĐGNL ĐHQG,866.0,Trúng tuyển
398,261VHU0398,Lê Hoàng Dũng,05/10/2008,Đồng Nai,Công nghệ thông tin,Xét học bạ THPT,23.01,Trúng tuyển
399,261VHU0399,Dương Văn Anh,28/07/2008,Đắk Lắk,Tâm lý học,Xét điểm thi THPT,26.58,Trúng tuyển
400,261VHU0400,Hoàng Ngọc Châu,26/02/2008,Bình Định,Quản trị kinh doanh,Xét điểm thi THPT,18.94,Trúng tuyển
401,261VHU0401,Bùi Quang Huy,25/03/2008,Lâm Đồng,Thiết kế đồ họa,Xét điểm thi THPT,26.12,Trúng tuyển
402,261VHU0402,Hoàng Thị Quân,06/08/2008,Tây Ninh,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,24.41,Trúng tuyển
403,261VHU0403,Phan Tuấn Vinh,15/04/2008,Bình Định,Thiết kế đồ họa,Xét điểm thi THPT,24.47,Trúng tuyển
404,261VHU0404,Phạm Thành Yến,12/07/2008,Tây Ninh,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,877.0,Trúng tuyển
405,261VHU0405,Hoàng Đức Hùng,20/10/2008,Đắk Lắk,Đông phương học,Xét học bạ THPT,20.61,Trúng tuyển
406,261VHU0406,Đặng Phương Uyên,07/09/2008,An Giang,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,933.0,Trúng tuyển
407,261VHU0407,Phan Hoàng Mai,26/04/2008,Tiền Giang,Kế toán,Xét điểm ĐGNL ĐHQG,621.0,Không trúng tuyển
408,261VHU0408,Hồ Thị Hương,17/01/2008,Tây Ninh,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,826.0,Trúng tuyển
409,261VHU0409,Bùi Thành Mai,22/03/2008,Tiền Giang,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,21.84,Trúng tuyển
410,261VHU0410,Lê Văn Tâm,02/01/2008,Bến Tre,Kỹ thuật phần mềm,Xét học bạ THPT,20.75,Trúng tuyển
411,261VHU0411,Đặng Tuấn Uyên,13/02/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm thi THPT,22.45,Trúng tuyển
412,261VHU0412,Hoàng Minh Châu,07/03/2008,Cần Thơ,Kế toán,Xét học bạ THPT,23.37,Trúng tuyển
413,261VHU0413,Bùi Gia Tâm,03/05/2008,Đắk Lắk,Đông phương học,Xét điểm ĐGNL ĐHQG,859.0,Trúng tuyển
414,261VHU0414,Ngô Hoàng Hương,14/02/2008,Tiền Giang,Công nghệ thông tin,Xét học bạ THPT,18.91,Trúng tuyển
415,261VHU0415,Trần Minh Tuấn,04/01/2008,Đắk Lắk,Tâm lý học,Xét điểm ĐGNL ĐHQG,881.0,Trúng tuyển
416,261VHU0416,Hoàng Hoàng Anh,17/09/2008,Đắk Lắk,Thiết kế đồ họa,Xét điểm thi THPT,28.01,Trúng tuyển
417,261VHU0417,Võ Thành Linh,09/12/2008,Bình Định,Thiết kế đồ họa,Xét điểm ĐGNL ĐHQG,897.0,Trúng tuyển
418,261VHU0418,Nguyễn Quang Nam,23/10/2008,Lâm Đồng,Kế toán,Xét điểm ĐGNL ĐHQG,624.0,Không trúng tuyển
419,261VHU0419,Lê Ngọc Nga,28/10/2008,Long An,Ngôn ngữ Nhật,Xét điểm thi THPT,18.58,Trúng tuyển
420,261VHU0420,Đỗ Thành Hùng,04/04/2008,Đắk Lắk,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,856.0,Trúng tuyển
421,261VHU0421,Nguyễn Văn Anh,13/03/2008,Long An,Quản trị kinh doanh,Xét học bạ THPT,22.95,Trúng tuyển
422,261VHU0422,Trần Thu Uyên,11/04/2008,Bến Tre,Tâm lý học,Xét điểm ĐGNL ĐHQG,759.0,Trúng tuyển
423,261VHU0423,Bùi Minh Châu,22/01/2008,Long An,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,19.25,Trúng tuyển
424,261VHU0424,Vũ Phương Quân,15/05/2008,Bình Dương,Công nghệ thông tin,Xét điểm thi THPT,18.72,Trúng tuyển
425,261VHU0425,Bùi Thị Sơn,10/10/2008,Bình Dương,Ngôn ngữ Anh,Xét học bạ THPT,21.87,Trúng tuyển
426,261VHU0426,Vũ Ngọc Linh,25/04/2008,Đắk Lắk,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,28.48,Trúng tuyển
427,261VHU0427,Vũ Thành Anh,12/11/2008,Đắk Lắk,Marketing,Xét học bạ THPT,20.45,Trúng tuyển
428,261VHU0428,Nguyễn Quang Anh,24/05/2008,Bình Định,Đông phương học,Xét điểm thi THPT,26.91,Trúng tuyển
429,261VHU0429,Phan Thu Hương,05/12/2008,Bình Dương,Marketing,Xét điểm thi THPT,28.09,Trúng tuyển
430,261VHU0430,Lê Văn Hương,12/08/2008,Đắk Lắk,Ngôn ngữ Nhật,Xét điểm thi THPT,25.36,Trúng tuyển
431,261VHU0431,Lê Ánh Dũng,13/02/2008,An Giang,Ngôn ngữ Nhật,Xét học bạ THPT,24.69,Trúng tuyển
432,261VHU0432,Trần Gia Tuấn,28/06/2008,Bến Tre,Thiết kế đồ họa,Xét học bạ THPT,21.06,Trúng tuyển
433,261VHU0433,Bùi Quang Nga,07/03/2008,An Giang,Kế toán,Xét học bạ THPT,18.78,Trúng tuyển
434,261VHU0434,Phạm Thành Dũng,14/02/2008,Cần Thơ,Thiết kế đồ họa,Xét điểm thi THPT,22.89,Trúng tuyển
435,261VHU0435,Đỗ Phương Hải,28/02/2008,Bình Định,Ngôn ngữ Anh,Xét điểm thi THPT,22.87,Trúng tuyển
436,261VHU0436,Huỳnh Phương Tuấn,02/04/2008,Tây Ninh,Kế toán,Xét điểm ĐGNL ĐHQG,865.0,Trúng tuyển
437,261VHU0437,Hoàng Thị Uyên,02/11/2008,Bình Dương,Quản trị kinh doanh,Xét điểm thi THPT,22.16,Trúng tuyển
438,261VHU0438,Võ Khánh Phúc,18/12/2008,Cần Thơ,Công nghệ thông tin,Xét điểm thi THPT,26.97,Trúng tuyển
439,261VHU0439,Vũ Thị Nga,02/04/2008,Long An,Kỹ thuật phần mềm,Xét học bạ THPT,19.28,Trúng tuyển
440,261VHU0440,Phan Khánh Mai,21/02/2008,An Giang,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,840.0,Trúng tuyển
441,261VHU0441,Võ Khánh Châu,21/08/2008,Long An,Công nghệ thông tin,Xét học bạ THPT,20.08,Trúng tuyển
442,261VHU0442,Lê Khánh Khoa,02/03/2008,An Giang,Kỹ thuật phần mềm,Xét học bạ THPT,27.89,Trúng tuyển
443,261VHU0443,Ngô Khánh Vinh,22/07/2008,Long An,Marketing,Xét điểm thi THPT,18.31,Trúng tuyển
444,261VHU0444,Đỗ Đức Phúc,05/01/2008,An Giang,Kế toán,Xét điểm thi THPT,22.68,Trúng tuyển
445,261VHU0445,Vũ Tuấn Huy,16/01/2008,Bình Định,Ngôn ngữ Anh,Xét điểm thi THPT,27.27,Trúng tuyển
446,261VHU0446,Võ Gia Em,26/09/2008,Đồng Nai,Marketing,Xét học bạ THPT,24.75,Trúng tuyển
447,261VHU0447,Nguyễn Gia Uyên,16/06/2008,An Giang,Tài chính - Ngân hàng,Xét điểm thi THPT,23.72,Trúng tuyển
448,261VHU0448,Bùi Gia Hùng,08/01/2008,Bình Dương,Thiết kế đồ họa,Xét học bạ THPT,21.35,Trúng tuyển
449,261VHU0449,Trần Phương Phong,08/03/2008,Bình Định,Ngôn ngữ Nhật,Xét điểm thi THPT,26.05,Trúng tuyển
450,261VHU0450,Vũ Tuấn Hương,24/01/2008,Đồng Nai,Kế toán,Xét điểm ĐGNL ĐHQG,910.0,Trúng tuyển
451,261VHU0451,Hồ Quang Phúc,26/12/2008,Đắk Lắk,Thiết kế đồ họa,Xét học bạ THPT,24.22,Trúng tuyển
452,261VHU0452,Đỗ Ánh Anh,19/10/2008,Long An,Tâm lý học,Xét điểm ĐGNL ĐHQG,734.0,Trúng tuyển
453,261VHU0453,Phan Khánh Phong,02/02/2008,TP. Hồ Chí Minh,Ngôn ngữ Nhật,Xét điểm thi THPT,19.84,Trúng tuyển
454,261VHU0454,Vũ Ánh Hương,11/10/2008,Đồng Nai,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,782.0,Trúng tuyển
455,261VHU0455,Hoàng Quang Uyên,05/10/2008,Đắk Lắk,Thiết kế đồ họa,Xét điểm thi THPT,18.63,Trúng tuyển
456,261VHU0456,Hoàng Phương Dũng,12/12/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm thi THPT,28.09,Trúng tuyển
457,261VHU0457,Hồ Ánh Dũng,06/12/2008,Bến Tre,Tài chính - Ngân hàng,Xét điểm thi THPT,21.39,Trúng tuyển
458,261VHU0458,Lý Tuấn Khoa,23/10/2008,Tây Ninh,Thiết kế đồ họa,Xét điểm ĐGNL ĐHQG,968.0,Trúng tuyển
459,261VHU0459,Vũ Tuấn Tâm,23/05/2008,Long An,Thiết kế đồ họa,Xét điểm thi THPT,21.22,Trúng tuyển
460,261VHU0460,Huỳnh Hoàng Anh,25/10/2008,TP. Hồ Chí Minh,Tâm lý học,Xét điểm ĐGNL ĐHQG,749.0,Trúng tuyển
461,261VHU0461,Huỳnh Ánh Khoa,04/08/2008,Long An,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,24.72,Trúng tuyển
462,261VHU0462,Bùi Hoàng Châu,06/11/2008,Bình Định,Quản trị kinh doanh,Xét điểm thi THPT,28.31,Trúng tuyển
463,261VHU0463,Bùi Ngọc Anh,03/06/2008,Bình Dương,Kế toán,Xét học bạ THPT,20.62,Trúng tuyển
464,261VHU0464,Phạm Hoàng Anh,14/03/2008,Bến Tre,Công nghệ thông tin,Xét điểm thi THPT,22.6,Trúng tuyển
465,261VHU0465,Lý Gia Linh,16/10/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm thi THPT,19.06,Trúng tuyển
466,261VHU0466,Vũ Thành Nga,11/05/2008,Bình Định,Kỹ thuật phần mềm,Xét học bạ THPT,21.1,Trúng tuyển
467,261VHU0467,Lê Quang Phúc,18/02/2008,Tây Ninh,Marketing,Xét học bạ THPT,25.69,Trúng tuyển
468,261VHU0468,Lý Hoàng Anh,14/03/2008,TP. Hồ Chí Minh,Marketing,Xét điểm ĐGNL ĐHQG,663.0,Trúng tuyển
469,261VHU0469,Phạm Quang Hải,24/12/2008,Cần Thơ,Quản trị kinh doanh,Xét điểm thi THPT,25.32,Trúng tuyển
470,261VHU0470,Võ Tuấn Huy,13/10/2008,Cần Thơ,Kế toán,Xét học bạ THPT,19.01,Trúng tuyển
471,261VHU0471,Lý Thành Bình,10/11/2008,Lâm Đồng,Tài chính - Ngân hàng,Xét học bạ THPT,22.49,Trúng tuyển
472,261VHU0472,Lý Đức Dũng,10/02/2008,Tiền Giang,Công nghệ thông tin,Xét học bạ THPT,19.79,Trúng tuyển
473,261VHU0473,Phạm Minh Mai,09/02/2008,Lâm Đồng,Ngôn ngữ Anh,Xét điểm thi THPT,27.4,Trúng tuyển
474,261VHU0474,Hồ Thành Linh,02/05/2008,Tiền Giang,Marketing,Xét điểm thi THPT,19.96,Trúng tuyển
475,261VHU0475,Dương Minh Hương,25/12/2008,Lâm Đồng,Kế toán,Xét điểm ĐGNL ĐHQG,623.0,Không trúng tuyển
476,261VHU0476,Phạm Thị Tuấn,25/10/2008,Đồng Nai,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,757.0,Trúng tuyển
477,261VHU0477,Trần Khánh Mai,22/08/2008,An Giang,Ngôn ngữ Nhật,Xét điểm thi THPT,28.14,Trúng tuyển
478,261VHU0478,Vũ Ngọc Huy,23/01/2008,Cần Thơ,Kỹ thuật phần mềm,Xét điểm thi THPT,27.48,Trúng tuyển
479,261VHU0479,Hoàng Thị Yến,06/04/2008,Đồng Nai,Ngôn ngữ Anh,Xét học bạ THPT,27.97,Trúng tuyển
480,261VHU0480,Hoàng Văn Nam,27/11/2008,Long An,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,765.0,Trúng tuyển
481,261VHU0481,Võ Quang Vinh,13/09/2008,Tây Ninh,Kỹ thuật phần mềm,Xét học bạ THPT,22.08,Trúng tuyển
482,261VHU0482,Võ Thu Nga,17/07/2008,Bình Định,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,837.0,Trúng tuyển
483,261VHU0483,Ngô Thành Em,04/02/2008,An Giang,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,821.0,Trúng tuyển
484,261VHU0484,Phạm Phương Huy,09/07/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm thi THPT,27.22,Trúng tuyển
485,261VHU0485,Lý Ánh Thảo,13/03/2008,An Giang,Ngôn ngữ Anh,Xét học bạ THPT,19.81,Trúng tuyển
486,261VHU0486,Hồ Văn Mai,24/08/2008,Bình Dương,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,690.0,Trúng tuyển
487,261VHU0487,Đỗ Văn Khoa,16/12/2008,Lâm Đồng,Kế toán,Xét điểm thi THPT,20.94,Trúng tuyển
488,261VHU0488,Phạm Khánh Hương,15/06/2008,Bình Dương,Thiết kế đồ họa,Xét điểm thi THPT,28.23,Trúng tuyển
489,261VHU0489,Ngô Ánh Trang,27/07/2008,Đắk Lắk,Kỹ thuật phần mềm,Xét học bạ THPT,22.64,Trúng tuyển
490,261VHU0490,Lý Phương Quân,06/02/2008,Bình Dương,Tài chính - Ngân hàng,Xét học bạ THPT,23.41,Trúng tuyển
491,261VHU0491,Hồ Thành Yến,07/04/2008,TP. Hồ Chí Minh,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,611.0,Không trúng tuyển
492,261VHU0492,Vũ Văn Nga,09/06/2008,Tiền Giang,Công nghệ thông tin,Xét điểm thi THPT,25.4,Trúng tuyển
493,261VHU0493,Hồ Tuấn Dũng,16/10/2008,Tiền Giang,Đông phương học,Xét học bạ THPT,20.54,Trúng tuyển
494,261VHU0494,Huỳnh Khánh Phong,06/05/2008,Đắk Lắk,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,733.0,Trúng tuyển
495,261VHU0495,Lê Minh Anh,19/04/2008,Đồng Nai,Marketing,Xét học bạ THPT,19.71,Trúng tuyển
496,261VHU0496,Vũ Tuấn Hải,01/11/2008,TP. Hồ Chí Minh,Kế toán,Xét điểm ĐGNL ĐHQG,756.0,Trúng tuyển
497,261VHU0497,Lý Thành Trang,08/05/2008,An Giang,Thiết kế đồ họa,Xét điểm ĐGNL ĐHQG,904.0,Trúng tuyển
498,261VHU0498,Đặng Hoàng Uyên,13/06/2008,Tiền Giang,Đông phương học,Xét điểm thi THPT,22.45,Trúng tuyển
499,261VHU0499,Võ Đức Nga,20/07/2008,An Giang,Kế toán,Xét điểm ĐGNL ĐHQG,798.0,Trúng tuyển
500,261VHU0500,Phạm Văn Quân,20/10/2008,Bình Dương,Đông phương học,Xét điểm thi THPT,23.9,Trúng tuyển
