mssv,ho_ten,ngay_sinh,khoa,nganh,nam_hoc,hoc_ky,gpa_hoc_ky,diem_ren_luyen,loai_hoc_bong_dang_ky,hoan_canh_kho_khan,vipham_ky_luat,no_hoc_phi,ket_qua_xet_hoc_bong,ly_do_truot_hoac_xep_loai
211A000230,Huynh Quoc Bich,2003-04-17,Kinh te,Ke toan,2025-2026,Hoc ky 1,3.31,85,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Gioi
211A000231,Bui Thanh Vy,2003-03-13,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.17,58,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000232,Duong Tan Giang,2003-03-04,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 1,3.59,75,Hoc bong Dong hanh Vuot kho,1,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000233,Mai Khanh Mai,2003-08-19,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.93,99,Hoc bong Tai nang VHU,0,0,0,Dat,Dat HB Tai nang VHU
211A000234,Do Gia Dung,2003-12-02,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 1,2.87,86,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000235,Hoang Nhat Quan,2003-04-04,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.24,66,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000236,Mai Ngoc Linh,2003-06-29,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,3.29,94,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000237,Ly Van Yen,2003-10-02,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.51,92,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000238,Cao Van Quang,2003-01-13,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,3.13,92,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000239,Nguyen Tan Vy,2003-02-02,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.37,69,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000240,Cao Phuong Mai,2003-03-15,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 1,3.31,80,Hoc bong Tai nang VHU,0,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000241,Tran Duc Nhi,2003-05-27,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.66,85,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000242,Hoang Phuong Em,2003-12-15,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.31,61,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000243,Vu Van An,2003-11-27,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,3.03,61,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000244,Pham Duc Giang,2003-03-09,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,3.66,91,Hoc bong Tai nang VHU,0,0,0,Dat,Dat HB Tai nang VHU
211A000245,Ngo Hoang Hang,2003-02-16,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 1,2.11,96,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000246,Mai Minh Thao,2003-08-05,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.84,79,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000247,Dinh Phuong Nam,2003-12-23,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.28,84,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000248,Pham Thi Quang,2003-08-28,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,3.64,75,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000249,Mai Khanh Bich,2003-04-20,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.18,76,Hoc bong Trai tim Hung Hau,1,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000250,Phan Duc Hang,2003-10-31,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,2.78,74,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000251,Le Thi Hang,2003-05-20,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.73,65,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000252,Truong Thi Khoa,2003-07-13,Kinh te,Ke toan,2025-2026,Hoc ky 2,2.65,64,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000253,Phan Gia Dung,2003-04-17,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.91,96,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Kha
211A000254,Nguyen Tuyet Em,2003-07-28,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,2.2,70,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000255,Duong Huu Em,2003-04-08,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.64,68,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000256,Do Phuong Bich,2003-12-18,Kinh te,Ke toan,2025-2026,Hoc ky 2,3.73,99,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Xuat sac
211A000257,Dinh Phuong Cuong,2003-05-01,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.29,59,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000258,Mai Kim Lam,2003-09-08,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.31,98,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000259,Cao Kim Yen,2003-04-11,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.75,94,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000260,Le Duc Vy,2003-01-06,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.01,77,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000261,Le Ngoc Lam,2003-08-04,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.66,68,Hoc bong Tai nang VHU,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000262,Truong Gia Bich,2003-07-04,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.71,87,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000263,Mai Phuong Dung,2003-07-31,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.08,79,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000264,Nguyen Duc Cuong,2003-04-15,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.16,70,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000265,Phan Huu Bich,2003-01-26,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.97,96,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000266,Huynh Kim Dung,2003-12-13,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.16,82,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000267,Pham Van An,2003-06-17,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.17,57,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000268,Vo Khanh An,2003-12-01,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.27,90,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000269,Duong Tan Linh,2003-12-09,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.01,60,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000270,Trinh Khanh Dung,2003-09-25,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,3.48,99,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000271,Vo Tuyet Linh,2003-06-03,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,3.59,85,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000272,Mai Gia An,2003-05-25,Kinh te,Luat Kinh te,2025-2026,Hoc ky 1,2.61,89,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000273,Hoang Minh Mai,2003-09-02,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.04,71,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000274,Mai Nhat Thinh,2003-05-13,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.24,92,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000275,Trinh Hoang Yen,2003-09-08,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.18,77,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000276,Huynh Tuyet Thinh,2003-06-06,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.16,86,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000277,Phan Kim Mai,2003-04-13,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.25,70,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000278,Huynh Van Lam,2003-01-31,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.8,87,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000279,Le Viet Quan,2003-05-19,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 1,2.5,86,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000280,Pham Thi Khoa,2003-03-30,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.99,71,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000281,Trinh Phuong Thao,2003-08-03,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,3.33,79,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000282,Vu Tuyet Mai,2003-05-21,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,3.84,86,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000283,Ngo Minh Dung,2003-04-15,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,3.53,93,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000284,Vu Minh Vy,2003-08-04,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.32,92,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000285,Ly Quoc Hang,2003-01-14,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,2.67,88,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000286,Duong Nhat Hang,2003-02-11,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,2.95,85,Hoc bong Trai tim Hung Hau,1,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000287,Le Truc Quang,2003-12-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.9,78,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000288,Do Truc Yen,2003-01-30,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.52,79,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000289,Hoang Tuyet Lam,2003-09-21,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.48,56,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000290,Dang Thanh Giang,2003-12-21,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.71,55,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000291,Vo Tuyet Khoa,2003-02-18,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,3.93,99,Hoc bong Tai nang VHU,0,0,0,Dat,Dat HB Tai nang VHU
211A000292,Dang Hoang Linh,2003-05-23,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.46,96,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000293,Dang Kim Khoa,2003-09-08,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.19,60,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000294,Trinh Tan Vy,2003-10-11,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.13,82,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000295,Bui Tuyet Vy,2003-01-07,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.38,83,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000296,Mai Khanh Yen,2003-10-26,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,3.86,74,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000297,Nguyen Duc Phong,2003-07-11,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.58,58,Hoc bong Tai nang VHU,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000298,Mai Ngoc Bich,2003-05-17,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,2.2,81,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000299,Vu Thanh Nam,2003-05-04,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,3.51,75,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000300,Tran Nhat An,2003-03-28,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,2.29,61,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000301,Hoang Truc Dung,2003-10-03,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,2.94,68,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000302,Ly Thanh Giang,2003-10-31,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.58,76,Hoc bong Trai tim Hung Hau,1,1,1,Khong dat,Vi pham ky luat trong hoc ky
211A000303,Huynh Gia An,2003-02-18,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 1,2.68,63,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000304,Le Truc Thao,2003-05-02,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.31,70,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000305,Huynh Tan Thinh,2003-01-30,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.56,74,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000306,Cao Ngoc Dung,2003-12-07,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.03,87,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000307,Truong Truc Quan,2003-07-14,Kinh te,Ke toan,2025-2026,Hoc ky 2,3.05,62,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000308,Ngo Viet Cuong,2003-11-28,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.6,74,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000309,Bui Thanh Giang,2003-10-24,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,3.47,70,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000310,Pham Truc Khoa,2003-07-01,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,3.85,62,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000311,Dang Truc An,2003-04-13,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,3.53,59,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000312,Do Thanh Phong,2003-04-13,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,2.92,57,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000313,Hoang Tan Quang,2003-09-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.3,98,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000314,Pham Thi Giang,2003-03-07,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,2.26,88,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000315,Cao Ngoc Thinh,2003-11-16,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.65,62,Hoc bong Tai nang VHU,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000316,Trinh Thanh Giang,2003-05-09,Kinh te,Marketing,2025-2026,Hoc ky 1,2.23,99,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000317,Mai Ngoc Giang,2003-05-24,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.52,88,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000318,Huynh Khanh Quang,2003-12-09,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.97,94,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000319,Dinh Khanh Hang,2003-07-07,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.31,81,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000320,Bui Thanh Quan,2003-05-11,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,3.85,58,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000321,Mai Thanh Thinh,2003-06-20,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.57,89,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000322,Dang Huu Vy,2003-06-08,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,2.53,70,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000323,Nguyen Quoc Em,2003-11-10,Kinh te,Luat Kinh te,2025-2026,Hoc ky 1,2.17,64,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000324,Do Thi Linh,2003-03-27,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 1,2.98,87,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000325,Phan Hoang An,2003-01-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.33,76,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000326,Do Thi Linh,2003-01-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.91,84,Hoc bong Trai tim Hung Hau,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000327,Mai Nhat Khoa,2003-01-05,Kinh te,Marketing,2025-2026,Hoc ky 2,3.46,71,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000328,Cao Kim Cuong,2003-04-10,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,2.19,59,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000329,Dinh Khanh Em,2003-09-07,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.46,90,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000330,Ngo Thanh Quan,2003-07-08,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.1,89,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000331,Vo Ngoc Thao,2003-04-21,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.08,67,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000332,Ly Nhat Thao,2003-04-05,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,2.77,57,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000333,Ly Van An,2003-03-13,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.28,58,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000334,Vu Tan Cuong,2003-06-13,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.33,95,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000335,Hoang Thi Cuong,2003-05-14,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,2.41,77,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000336,Truong Huu Hang,2003-08-25,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,2.66,95,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000337,Phan Quoc Yen,2003-10-25,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,3.67,86,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Xuat sac
211A000338,Duong Khanh Em,2003-05-14,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,2.8,86,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000339,Huynh Ngoc Giang,2003-12-15,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.33,59,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000340,Phan Kim Nam,2003-12-16,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.38,81,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000341,Ngo Viet An,2003-09-26,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,3.83,87,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000342,Do Viet Khoa,2003-06-08,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,3.44,77,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000343,Cao Truc Quang,2003-12-09,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.75,78,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000344,Do Nhat Quan,2003-03-10,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.72,59,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000345,Cao Thanh Hang,2003-06-13,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,2.81,83,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
